"{""ObjectName"":""ApplicationComponent"",""Version"":""1.0"",""TimeZone"":""GMT"",""Pattern"":""""}"
id,name,type,appId,parent,seqNo,createdBy,createdDate,lastModifiedBy,lastModifiedDate,systemModifiedDate,deletedDate,isDeleted,owner,installedPackage,custom,protectMode
string,string,string,string,string,numeric,string,date,string,date,date,date,bool,string,string,bool,numeric
003f000000dbdoDGEug4,Loigc,Folder,000f000000dbdkX7ZW1A,NULL,NULL,10gd000000d9AmU2gaYa,2020-09-27 12:48:54,10gd000000d9AmU2gaYa,2020-09-27 12:48:54,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
003f000000dbdoeaYa5A,Model,Folder,000f000000dbdkX7ZW1A,NULL,NULL,10gd000000d9AmU2gaYa,2020-09-27 12:49:00,10gd000000d9AmU2gaYa,2020-09-27 12:49:00,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
003f000000dbdp7mOzQW,Page,Folder,000f000000dbdkX7ZW1A,NULL,NULL,10gd000000d9AmU2gaYa,2020-09-27 12:49:06,10gd000000d9AmU2gaYa,2020-09-27 12:49:06,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
003f000000dbe6OKpesa,Founder,Folder,000f000000dbdkX7ZW1A,003f000000dbdp7mOzQW,0,10gd000000d9AmU2gaYa,2020-09-27 12:53:00,10gd000000doaHKUldLc,2020-10-08 05:46:26,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
003f000000dbe6tmtuTo,Loster,Folder,000f000000dbdkX7ZW1A,003f000000dbdp7mOzQW,1,10gd000000d9AmU2gaYa,2020-09-27 12:53:07,10gd000000doaHKUldLc,2020-10-08 05:46:26,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
003f000000dbe9JaHPKi,Dmax,Folder,000f000000dbdkX7ZW1A,003f000000dbdoDGEug4,NULL,10gd000000d9AmU2gaYa,2020-09-27 12:53:40,10gd000000d9AmU2gaYa,2020-09-27 12:53:40,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
003f000000dbeFat8Ioi,test1xjl__Student__CST,CustomObject,000f000000dbdkX7ZW1A,003f000000dbdoeaYa5A,NULL,10gd000000d9AmU2gaYa,2020-09-27 12:55:05,10gd000000d9AmU2gaYa,2020-09-27 12:55:05,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
003f000000deb24nqtc0,test1xjl__FInfo__CST,CustomObject,000f000000dbdkX7ZW1A,003f000000dbdoeaYa5A,NULL,10gd000000d9AmU2gaYa,2020-09-29 07:32:52,10gd000000d9AmU2gaYa,2020-09-29 07:32:52,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
003f000000djhuOpujQG,administrator,Folder,000f000000dbdkX7ZW1A,003f000000dbdp7mOzQW,3,10gd000000dTVgIjsWJ6,2020-10-02 09:27:07,10gd000000doaHKUldLc,2020-10-08 05:46:26,NULL,NULL,false,10gd000000dTVgIjsWJ6,NULL,true,0
