"{""ObjectName"":""Button"",""Version"":""1.0"",""TimeZone"":""GMT"",""Pattern"":""""}"
id,name,objectId,label,type,properties,actionId,description,source,actionScript,createdBy,createdDate,lastModifiedBy,lastModifiedDate,systemModifiedDate,deletedDate,isDeleted,owner,installedPackage,custom,protectMode
string,string,string,string,string,clob,string,string,string,clob,string,date,string,date,date,date,bool,string,string,bool,numeric
000q000000dbeFZ3akmu,test1xjl__Student__CSTNew,cust000000dbeFZ0BZE8,New,Button,New,,,,,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dbeFZ3akmv,test1xjl__Student__CSTDelete,cust000000dbeFZ0BZE8,Delete,Button,Delete,000a000000dbeFZ1bYsU,,,,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dbeFZ3akmw,test1xjl__Student__CSTEdit,cust000000dbeFZ0BZE8,Edit,Button,Edit,,,,,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dbeFZ3akmx,test1xjl__Student__CSTCancel,cust000000dbeFZ0BZE8,Cancel,Button,Cancel,000a000000dbeFZ1bYsV,,,,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dbeFZ3akmy,test1xjl__Student__CSTInsert,cust000000dbeFZ0BZE8,Save,Button,Insert,000a000000dbeFZ1bYsS,,,,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dbeFZ3akmz,test1xjl__Student__CSTUpdate,cust000000dbeFZ0BZE8,Save,Button,Update,000a000000dbeFZ1bYsT,,,,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dbeFZ3akn0,test1xjl__Student__CSTApproval,cust000000dbeFZ0BZE8,Submit,Button,SubmitApproval,000a000000dbeFZ1bYsW,,,,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000deb2357ihk,test1xjl__FInfo__CSTNew,cust000000deb232HjP6,New,Button,New,,,,,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000deb2357ihl,test1xjl__FInfo__CSTDelete,cust000000deb232HjP6,Delete,Button,Delete,000a000000deb233Q7vO,,,,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000deb2357ihm,test1xjl__FInfo__CSTEdit,cust000000deb232HjP6,Edit,Button,Edit,,,,,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000deb2357ihn,test1xjl__FInfo__CSTCancel,cust000000deb232HjP6,Cancel,Button,Cancel,000a000000deb233Q7vP,,,,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000deb2357iho,test1xjl__FInfo__CSTInsert,cust000000deb232HjP6,Save,Button,Insert,000a000000deb233Q7vM,,,,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000deb2357ihp,test1xjl__FInfo__CSTUpdate,cust000000deb232HjP6,Save,Button,Update,000a000000deb233Q7vN,,,,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000deb2357ihq,test1xjl__FInfo__CSTApproval,cust000000deb232HjP6,Submit,Button,SubmitApproval,000a000000deb233Q7vQ,,,,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000doVwGDRJa4,test1xjl__LInfo__CSTNew,cust000000doVwGAsvPU,New,Button,New,,,,,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000doVwGDRJa5,test1xjl__LInfo__CSTDelete,cust000000doVwGAsvPU,Delete,Button,Delete,000a000000doVwGBjini,,,,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000doVwGDRJa6,test1xjl__LInfo__CSTEdit,cust000000doVwGAsvPU,Edit,Button,Edit,,,,,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000doVwGDRJa7,test1xjl__LInfo__CSTCancel,cust000000doVwGAsvPU,Cancel,Button,Cancel,000a000000doVwGBjinj,,,,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000doVwGDRJa8,test1xjl__LInfo__CSTInsert,cust000000doVwGAsvPU,Save,Button,Insert,000a000000doVwGBjing,,,,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000doVwGDRJa9,test1xjl__LInfo__CSTUpdate,cust000000doVwGAsvPU,Save,Button,Update,000a000000doVwGBjinh,,,,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000doVwGDRJaA,test1xjl__LInfo__CSTApproval,cust000000doVwGAsvPU,Submit,Button,SubmitApproval,000a000000doVwGBjink,,,,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dt71kA6NoO,test1xjl__GratitudeWall__CSTNew,cust000000dt71k7pals,New,Button,New,,,,,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dt71kA6NoP,test1xjl__GratitudeWall__CSTDelete,cust000000dt71k7pals,Delete,Button,Delete,000a000000dt71k8gOA6,,,,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dt71kA6NoQ,test1xjl__GratitudeWall__CSTEdit,cust000000dt71k7pals,Edit,Button,Edit,,,,,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dt71kA6NoR,test1xjl__GratitudeWall__CSTCancel,cust000000dt71k7pals,Cancel,Button,Cancel,000a000000dt71k8gOA7,,,,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dt71kA6NoS,test1xjl__GratitudeWall__CSTInsert,cust000000dt71k7pals,Save,Button,Insert,000a000000dt71k8gOA4,,,,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dt71kA6NoT,test1xjl__GratitudeWall__CSTUpdate,cust000000dt71k7pals,Save,Button,Update,000a000000dt71k8gOA5,,,,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dt71kA6NoU,test1xjl__GratitudeWall__CSTApproval,cust000000dt71k7pals,Submit,Button,SubmitApproval,000a000000dt71k8gOA8,,,,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000q000000dvcJUj5kAq,test1xjl__Complain__CSTNew,cust000000dvcJUf7MLw,New,Button,New,,,,,10gd000000d9AmU2gaYa,2020-10-09 13:40:05,10gd000000d9AmU2gaYa,2020-10-09 13:40:05,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
