"{""ObjectName"":""Action"",""Version"":""1.0"",""TimeZone"":""GMT"",""Pattern"":""""}"
id,name,objectId,label,type,objectAction,actionScript,description,flow,script,isGlobal,createdBy,createdDate,lastModifiedBy,lastModifiedDate,systemModifiedDate,deletedDate,isDeleted,owner,installedPackage,custom,protectMode
string,string,string,string,string,string,clob,string,string,string,bool,string,date,string,date,date,date,bool,string,string,bool,numeric
000a000000dbeFZ1bYsS,test1xjl__Student__CSTInsert,cust000000dbeFZ0BZE8,New,Object Action,Insert,,,,,false,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000dbeFZ1bYsT,test1xjl__Student__CSTUpdate,cust000000dbeFZ0BZE8,Edit,Object Action,Update,,,,,false,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000dbeFZ1bYsU,test1xjl__Student__CSTDelete,cust000000dbeFZ0BZE8,Delete,Object Action,Delete,,,,,false,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000dbeFZ1bYsV,test1xjl__Student__CSTCancel,cust000000dbeFZ0BZE8,Cancel,Object Action,Back,,,,,false,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000dbeFZ1bYsW,test1xjl__Student__CSTApproval,cust000000dbeFZ0BZE8,Approval,Object Action,SubmitApproval,,,,,false,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000deb233Q7vM,test1xjl__FInfo__CSTInsert,cust000000deb232HjP6,New,Object Action,Insert,,,,,false,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000deb233Q7vN,test1xjl__FInfo__CSTUpdate,cust000000deb232HjP6,Edit,Object Action,Update,,,,,false,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000deb233Q7vO,test1xjl__FInfo__CSTDelete,cust000000deb232HjP6,Delete,Object Action,Delete,,,,,false,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000deb233Q7vP,test1xjl__FInfo__CSTCancel,cust000000deb232HjP6,Cancel,Object Action,Back,,,,,false,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000deb233Q7vQ,test1xjl__FInfo__CSTApproval,cust000000deb232HjP6,Approval,Object Action,SubmitApproval,,,,,false,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000doVwGBjing,test1xjl__LInfo__CSTInsert,cust000000doVwGAsvPU,New,Object Action,Insert,,,,,false,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000doVwGBjinh,test1xjl__LInfo__CSTUpdate,cust000000doVwGAsvPU,Edit,Object Action,Update,,,,,false,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000doVwGBjini,test1xjl__LInfo__CSTDelete,cust000000doVwGAsvPU,Delete,Object Action,Delete,,,,,false,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000doVwGBjinj,test1xjl__LInfo__CSTCancel,cust000000doVwGAsvPU,Cancel,Object Action,Back,,,,,false,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000doVwGBjink,test1xjl__LInfo__CSTApproval,cust000000doVwGAsvPU,Approval,Object Action,SubmitApproval,,,,,false,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000dt71k8gOA4,test1xjl__GratitudeWall__CSTInsert,cust000000dt71k7pals,New,Object Action,Insert,,,,,false,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000dt71k8gOA5,test1xjl__GratitudeWall__CSTUpdate,cust000000dt71k7pals,Edit,Object Action,Update,,,,,false,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000dt71k8gOA6,test1xjl__GratitudeWall__CSTDelete,cust000000dt71k7pals,Delete,Object Action,Delete,,,,,false,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000dt71k8gOA7,test1xjl__GratitudeWall__CSTCancel,cust000000dt71k7pals,Cancel,Object Action,Back,,,,,false,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000dt71k8gOA8,test1xjl__GratitudeWall__CSTApproval,cust000000dt71k7pals,Approval,Object Action,SubmitApproval,,,,,false,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
000a000000dvcJUgox8K,test1xjl__Complain__CSTInsert,cust000000dvcJUf7MLw,New,Object Action,Insert,,,,,false,10gd000000d9AmU2gaYa,2020-10-09 13:40:05,10gd000000d9AmU2gaYa,2020-10-09 13:40:05,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
